cleaned_article,label,classification_multi,classification_binary
documento haver perda significativo ritmo inflação preço permanecer acima objetivo central fed mercado trabalho americano continuar relativamente apertar,0,0,
taxa desemprego seguir nível historicamente baixo vaga elevada fed considerar produto interno bruto manter patamar forte apoiar aumento sólido gasto consumidor,-1,-1,-1.0
relatório apontar risco geopolítico guerra rússia ucrânia potencial expansão conflito israel hamas capaz ampliar pressão inflacionário renovar estresse financeiro,0,-1,
setor bancário permanecer sólido resiliente turbulência agudo ano,-1,0,-1.0
powell fugir script documento antecipar mercado manter precificação fed pressa derrubar juro esperar cantar vitória inflação,0,0,
galípolo durante palestra evento promover apce andré perfeito consultoria diretor banco central ressaltar receio inflação serviço dizer segurança exatamente pressão,-1,0,-1.0
link mercado trabalho pressão serviço dizer destacar banco central precisar desvendar mistério inflação serviço elevar fenômeno global,-1,-1,-1.0
especial liquidação custódia afirmar faltar informação tatear ser taxa terminal importante forward guidance copom prever corte indicador econômico,1,0,1.0
eventualmente vier acontecer algum mudança orientação política monetário significar necessariamente taxa terminal juro dizer declaração levantar especulação,0,1,
dia galípolo referir forward guidance qualificar último esporte altíssimo risco mercado achar copom tirar plural sinalização corte especial liquidação custódia,0,-1,
quadro fiscal dizer razoável supor déficit produto interno bruto preço,-1,-1,-1.0
recuo perse pressionar lobby setor evento congresso haddad sair reunião lira liderança câmara dizer equipe econômico aceitar voltar ideia acabar perse,-1,0,-1.0
ministro versão restrito programa socorro setor evento ser enviar congresso semana projeto lei urgência constitucional prazo dia apreciar,-1,0,-1.0
pl votar abril vigência medida provisória maio haddad afirmar medida provisória atualmente revogar perse reonerar prefeitura limitar compensação tributário ser mantir,-1,1,1.0
manutenção estratégico equipe econômico contabilizar aumento receita prever perse bi relatório bimestral avaliação orçamento enviar congresso dia,0,1,
relatório definizer ser necessário bloquear despesa cumprimento meta fiscal zerar déficit conta público receita computar ajudar reduzir contingenciamento,0,-1,
entendimento governo relator loa deputado luiz carlos motta pl afirmar parlamento aguardar dia apreciar veto lula emenda comissão,0,0,
manutenção veto data relatório bimestral contingenciamento conta limitar,-1,-1,-1.0
dia ministra simone tebet antecipar bloqueio esperar surpresa positivo arrecadação federal janeiro fevereiro divulgar,-1,1,1.0
campos neto banco central expressar percepção risco fiscal confiar governo condição entregar déficit primário projeção mercado produto interno bruto,0,-1,
encontro haddad lira agenda microeconômico pretender fazenda tratar superficialmente presidente câmara prometer destravar pls melhorar mercado capital,0,0,
semana negociação líder partidário avançar acordo distribuição comissão temático câmara ajuste mapa colegiado estar descartado,0,-1,
revés governo lula comissão constituição justiça ccj considerar principal colegiar casa ficar comando pl cmo presidir pp saúde tender ficar pt,-1,0,-1.0
tentativa melhorar ambiente congressista lula promover happy hour noite palácio alvorada pacheco senador semana receber deputado,-1,0,1.0
presidente prometer estreitar relação garantir ter contato parlamentar ano,0,0,
lula receber hoje governador mineiro adversário político romeu zema tratar dívida mg,0,0,
agenda produção industrial medir instituto brasileiro geografia estatística reverter alta dezembro cair fevereiro mediano pesquisa broadcast intervalo projeção contração expansão,-1,0,-1.0
câmbio monitorar transação corrente previsão déficit bi janeiro saldo negativo bilhão dezembro idp mediana indicar entrada líquido bi,-1,0,1.0
sair balança comercial apresentar superávit bilhão fevereiro dobro saldo positivo registrar ano passado ficar bilhão,1,1,1.0
campos neto diretor banco central ter reunião manhã membro febraban sp,0,0,
balanços csn csn mineração petroleum dexco slc agrícola taesa soltar resultado fechamento,0,0,
estados unidos dirigente fed mary daly neel kashkari falar powell,0,0,
agenda indicador relatório adp criação vaga emprego setor privado fevereiro acima janeiro eler expectativa mercado payroll,1,0,-1.0
sair estoque atacado previsão queda janeiro estoque petróleo doe crescimento milhão barri banco central canadá decidir juro,0,1,
peça ficção china vir choque estímulo analista desconfiado meta pequim produto interno bruto ano cerca poder valer estar superestimado,-1,0,-1.0
impressão target exagerado ajudar impor queda blue chip commodities ibov sofrer peso adicional downgrade btg vale suspense balanço petrobras,0,0,
recomendação vale rebaixar neutra papel on fechar queda petrobra on pn operar defensiva dividendo,0,-1,
petróleo ajudar expectativa demanda robusta china brent maio cair barril ice wti abril nymex,0,0,
juntando china ny baixa expressivo índice bovespa queda discreto fraco giro,0,0,
vibra desvalorização sessão divulgação balanço braskem pão açúcar baixo forte,0,0,
bancos ficar direção único santander unit itaú unibanco bradesco on bradesco pn banco brasil alta,0,0,
cogna cvc brf liderar ganho,0,0,
dia anterior taxa dis ignorar treasuries voltar acompanhar alívio taxa americano reagir indicador fraco estados unidos,-1,-1,-1.0
melhora percepção risco fiscal doméstico contribuir tirar prêmio curva,1,-1,-1.0
comentário positivo campos neto simone tebet véspera continuar impacto mercado precificação especial liquidação custódia terminal voltar ficar abaixo curva depósito interfinanceiro,1,-1,-1.0
outro fator positivo queda expectativa índice nacional preço consumidor amplo focus foco política monetário projeção ter seguir,1,0,1.0
estimativa especial liquidação custódia seguir previsão déficit primário produto interno bruto,-1,-1,-1.0
warren ver resultado ruim casa reduzir projeção produto interno bruto causa sucesso parcial medida aumento receita contingenciamento despesa prever ldo,1,0,1.0
fechamento depósito interfinanceiro cair depósito interfinanceiro cair,1,-1,-1.0
aversão global risco meta produto interno bruto china convencer pressionar dólar leve powell moeda vista subir,-1,-1,-1.0
xepa techs dia bom notícia big techs fato estar comprada ajudar liquidação dia setor derrubar bolsa ny dado fraco estados unidos tirar prêmio juro,0,-1,
dia fuga risco espera mensagem powell congresso payroll,-1,0,-1.0
conta dow jones market data magníficas perder bilhão capitalização mercado,0,0,
onda começar apple contabilizar queda venda iphones china primeiro semana ano counterpoint research,0,0,
problema mercado chinês tesla ver ação despencar divulgar venda veículo país cair fevereiro igual período,0,0,
meta andar volta apagão cerca global facebook instagram empresa creditar problema questão técnico,0,-1,
houve falho google youtube alphabet amazon microsoft completar rodada baixa nvidia escapar subiu,0,0,
recuo espalhar techs nasdaq liderar perda setor peso importante baixar dow jones recuar,0,0,
venda sinal pânico dizer michael sansoterra silvant capital management ajustir movimento normal mercado ser ano forte alta,0,-1,
investidores preferir segurança treasuries demanda baixar rendimento pressionar fraco indicador divulgar estados unidos,-1,-1,-1.0
encomenda indústria cair janeiro ante dezembro pior esperar,1,0,-1.0
pmis serviço vier misto acompanhado mercado medido ism recuar fevereiro janeiro previsão,1,0,-1.0
pmi global subir analista prever,0,0,
retorno note ano cediar note ano caíir ano recuar,-1,-1,-1.0
impulso indicador fraco dia dólar ficar misto ante par índice dxy ficar estabilidade,0,0,
euro ficar estável zona euro ppi cair janeiro ante dezembro esperar comparação anual ceder recuar dezembro,0,0,
libra subir iene avançar iene,0,0,
produção total petróleo prio atingir barris óleo equivalente dia boepd fevereiro queda janeiro dado preliminar,0,1,
petrorecôncavo registrar lucro líquido m alta comparação anual ebitda somar m queda período,0,0,
enauta registrar produção total boe fevereiro alto janeiro,0,0,
minerva realizar oferta certificado recebível agronegócio cras lastrear debêntur operação ser securitizar virgo emissão ocorrer série,0,0,
btg carf cancelar autuação fiscal quase bi referente ágio gerar processo formação btg,0,0,
azul informar negociar aprovar transação específico analisar aquisição gol,0,0,
posicionamento empresa ocorrer resposta questionamento cvm notícia divulgar imprensa azul ter contratar assessor financeiro comprar gol,0,0,
raia drogasil registrar lucro líquido m alta comparação anual ebitda ajustar somar m crescimento período,0,0,
yduqs aprovar emissão debêntur bilhão,0,1,
alupar registrar lucro líquido m queda comparação anual ebitda somar m alto período,0,0,
produto interno zona euro lagarde antecipar juro cair junho estados unidos aposta convergem junho mercado precificado leitura fraco payroll fevereiro criação vaga emprego salário surpresa agitar mercado puxar dólar respeitar resistência psicológico bolsa dia blue chip commodities administração vale reunir hoje pauta sucessão comando ser discutir ganhar desfecho protagonista petrobras teleconferência comentar balanço adr afundar after market contratar gap pesar queda abertura estatal frustrar expectativa pagar dividendo extraordinário,0,0,
anúncio resultado sair noite gerar polêmica decisão invés pagar dividendo extraordinário preferer colocar lucro remanescente exercício bi reserva,0,0,
utilizar investimento companhia ser destinar integralmente reserva remuneração capital finalidade assegurar recurso distribuição futuro acionista,0,0,
ser eventualmente frente montante virar dividendo imediatamente,0,0,
petrobra decidir pagar dividendo ordinário respeitar fórmula estabelecer equivalente fluxo caixa livre aprovar repasse remuneração acionista,0,0,
equivaler remuneração ação on pn pagamento ser fazer parcela igual maio junho proposta ser levar assembleia ordinária ago acionista abril,0,0,
acumulado ano petrobras comando prates estatal ter pagar provento acionista expressivo efetuado,0,0,
semana passado investidor começar desconfiar petrobra pagar dividendo extraordinário,0,-1,
start partir entrevista prate bloomberg vir história busca petrobras tornar potência energia renovável requer conservadorismo pagamento dividendo,0,0,
ruído vir desencadear tombo ação estatal último dia decepção estar absorvido investidor querer bater petrobra lucro decepcionar,0,-1,
resultado vir abaixo previsão analista broadcast geração caixa medir ebitda bi inferior esperado receita bi superar aposta,0,0,
lucro líquido petrobras bom história inferior empresa queda petróleo ajudar esvaziar resultado companhia,0,0,
balanço petrobra negar estudo aquisição participação vibra distribuidora horas globo haver publicar estatal mira vibra voltar mercado distribuição,0,0,
novelão vale expectativa encontro hoje ter sucesso fevereiro administração rachar votação sucessão comando terminar empatar,0,-1,
data voto recondução atual ceo eduardo bartolomeo voto abertura processo competitivo contratação headhunter formação lista tríplice sucessor,0,0,
possibilidade mesa destravar negociação recondução bartolomeo período tradicional ano mandato começar processo sucessório,0,0,
último semana nome ser cotar presidente suzano walter schalka cosan luiz henrique guimarães paulo caffarelli banco brasil murilo ferreira,0,0,
populismo fiscal declaração lula durante evento pac aumento gasto melhora arrecadação início ano evidentemente fala político deixar causar desconforto,-1,-1,-1.0
coincidindo queda popularidade presidente dizer discutir câmara senado limite gasto ir gente utilizar dinheiro benefício,-1,0,-1.0
comentário vir esteira piora avaliação lula pesquisa opinião atlas apontar aprovação presidente cair abaixo mandato janeiro março,-1,-1,-1.0
meta haddad zerar déficit ano seguir desafio bloqueio gasto março descartado relatório bimestral receita despesa de aqui exatamente semana,-1,1,1.0
pec autonomia financeira banco central relator senador plínio valério otimista tramitação proposta andar independente resistência enfrentar governo,1,-1,-1.0
pec apresentar dezembro defender abertamente campos neto entrevista recente folha,1,0,-1.0
agu ver inconstitucionalidade pec transformar banco central hoje autarquia orçamento vincular união empresa público total autonomia financeiro orçamentária supervisão congresso,0,0,
banco central ter pleno liberdade definir plano carreira salário funcionário contratação reajuste,0,0,
payroll dramático aceleração dizer capital economics emprego dezembro janeiro mercado esperar baixada bola geração vaga trabalho salário fevereiro estados unidos,-1,0,-1.0
consenso abertura posto trabalho marcar desaceleração janeiro taxa desemprego manter salário médio h avançar janeiro,-1,0,-1.0
ameno ser importante endossar percepção powell fed cortar juro esperar inflação bater meta ciclo desaperto,-1,0,-1.0
payroll desafio mercado deslocar inflação índice preço consumidor fevereiro,-1,-1,-1.0
agenda fed boy john williams discursa evento londres baker hughes informar poço petróleo operação noite sair inflação china fevereiro repercutir,0,0,
sair prévia março concessão crédito livre janeiro captação poupança fevereiro informar banco central fluxo estrada pedagiar fevereiro,0,-1,
biden noite discurso anual união presidente americano exaltar economia,0,0,
ano milhão emprego criar estados unidos inflação cair baixo mundo biden prometer reduzir déficit federal trilhão,0,-1,
dizer curvar putin conflito israel hamas confirmar missão abertura porto faixa gaza tentativa facilitar entrega ajuda humanitário palestino,0,0,
crônica morte anunciada suspeita levantar recentemente mercado banco central preparar espírito abolir comunicado copom sinalização futuro especial liquidação custódia confirmar,-1,-1,-1.0
evento goldman sachs diretor banco central diogo guillen dizer comitê política monetário avaliar reunião de aqui semana sentir continuar adotar forward guidance,0,0,
repetir comentário galípolo haver fazer último durante palestra sp guillen qualificar instrumento esporte altíssimo risco atleta avesso risco policymaker,0,0,
guillen orientação política monetário especial liquidação custódia terminal trazer ruído sinal,0,-1,
copom manter sinalização plural corte juro mudança comunicação contratado avaliação economista andré perfeito broadcast,0,1,
pressão inflação serviço apressar banco central desobrigar repetir dose queda especial liquidação custódia reunião maio acreditar economista projetar especial liquidação custódia terminal dígito acima focus,0,-1,
analistas citi estimar juro ciclo relaxamento monetário copom preferir bancar conservadorismo desafio processo levar inflação volta meta,0,-1,
guillen admitir preocupação expectativa inflação acima meta ano desancorado,0,0,
pitar cuidado inflação avanço ponta longo treasuries segurar ligeiro prêmio taxa dis despeito fator positivo dia,-1,-1,-1.0
queda dólar deflação interfinanceiro superávit recorde setor público consolidar janeiro fazer preço dia oscilação estreita liquidez afetar câmbio bolsa,-1,-1,-1.0
resultado primário positivo divulgar banco central ano ficar acima expectativa,1,-1,-1.0
fechamento depósito interfinanceiro subir depósito interfinanceiro,-1,-1,-1.0
acompanhando baixa moeda dólar vista fechar leve queda,1,-1,-1.0
fevereiro fluxo cambial brasil negativo bilhão banco central saída bilhão canal financeiro anular efeito positivo entrada bilhão ver comércio exterior,-1,-1,-1.0
ano março fluxo cambial positivo bilhão,1,1,1.0
descolado indiferente recorde ny abaixo índice bovespa fechar queda giro,0,0,
haver sessão índice manter força direção mercado passar dia devagar expectativa balanço dividendo petrobras fechamento,0,0,
papel on cair pn ceder dia petróleo oscilar fechamento brent maio ficar estável barril ice wti abril,0,0,
vale cair despeito alta minério ferro dalian,0,0,
banco santander unit subir itaú unibanco desvalorizar banco brasil recuar bradesco on ceder bradesco pn perder,0,0,
csn liderar ranking negativo apesar salto lucro líquido rs milhão avaliação setor mineração bom siderurgia,0,0,
dexco cair tim subir empresa divulgar meta remuneração acionista completaram ranking positivo yduqs topo localiza,0,0,
combinar mensagem coordenar powell lagarde timing corte juro estados unidos zona euro dar gás bolsa ny especial techs sensível política monetário,0,0,
nasdaq anotar recorde intraday grande fechamento dia giant techs impulso plano meta ia generativo impulsionar engajamento rede social,0,0,
longo discurso praticamente reprise dia anterior câmara mensagem powell destacar audiência senado estar termos confiança inflação cortar juro,-1,0,-1.0
powell observar corte começar ano acrescentar fed consciente risco reduzir juro,-1,0,-1.0
ter citar data declaração reforçar aposta corte junho,0,-1,
mercado esperar finalmente ouvir autoridade fed dizer adam turnquist lpl financial comentário powell aumentar confiança corte chegar,0,0,
horas christine lagarde faltar cravar junho provável descida juro,0,0,
teremos pouco dado abril junho embasar política monetário dizer entrevista comentar decisão bce reduzir projeção inflação,0,1,
estimativa ano cair banco central manter taxa refinanciamento reunião consecutivo taxa depósito permanecer,0,0,
powell ter fazer dia lagarde reafirmar corte juro zona euro vir inflação batar meta,0,-1,
fawad razaqzada city index afirmar indicação forte chefe principal bcs juro cair,0,0,
nasdaq liderar ganho alta grande intraday recorde subir pico histórico dow jones avançar,0,0,
bolsa fazer festa techs bcs pesar juro treasuries dado mostrar mercado trabalho desaceleração firme dia payroll,0,0,
pedido ficar estável ante previsão,0,0,
retorno note ano caíir note ano cediar juro ano subiar,0,-1,
câmbio índice dólar dxy queda expressivo dia seguir,0,-1,
lagarde descartar queda juro abril euro avançar libra subir,-1,0,-1.0
expectativa mudança política monetário juro negativo japão render dia forte alta iene,0,-1,
aposta fortalecer dirigente junko nakagawa dizer economia país progresso constante rumo meta inflação apoiar avanço sólido salário,0,0,
dizer boj decidir revisar controle curva retorno bônu país jgb compra ativo risco,0,0,
presidente banco central japonês kazuo ueda afirmar banco central manter compra jgb decidir eliminar controle curva juro,0,0,
petz registrar lucro líquido ajustar m queda comparação anual ebitda ajustar somar m recuo período,0,0,
arezzo lucro líquido recorrente m alta,0,0,
vulcabras lucro líquido recorrente m alta,0,0,
americanas encerrar semana fevereiro março admissão referir contratação temporário páscoa,0,0,
intervalo registrar pedido saída término contrato experiência demissão,0,0,
enauta registrar lucro líquido m queda ver intervalo ebitda mi recuo receita líquido cair comparação anual mi,0,0,
fleury registrar lucro líquido m alta comparação anual ebitda somar m crescimento período,0,0,
companhia aprovar distribuição m dividendo equivalente ação pagamento ex,0,0,
emae lucro líquido m alta,0,0,
cba ampliar prejuízo líquido,0,0,
klabin agoe aprovar aumento capital bilhão mediante bonificação ação,0,0,
gafisa edmar prado lopes neto renunciar cargo diretor financeiro ri elegeu carmelo aldo depósito interfinanceiro leta posto diretor operacional diretor ri interino,0,0,
edital convocação estabelecer abril data assembleia credor empresa,0,0,
serena energia tarpon estudar realizar oferta secundário milhão ação on equivalente capital empresa empresa esclarecer realização oferta depender condição mercado,0,0,
companhia informar intenção aproveitar operação realizar oferta primária,0,0,
negócio estar fechado sair notícia repercutir ceo vale eduardo bartolomeo mandato estender maio dezembro ser abrir processo sucessão china índice preço consumidor registrar alta anualizar fevereiro vir pressionado consenso ppi deflação esperar dinâmica inflacionário destaque agenda indicador semana estados unidos índice nacional preço consumidor amplo índice preço consumidor fevereiro amanhã investidor fechado corte juro fed junho copom desperta debate antecipar forward guidance pressão político lado especial liquidação custódia dígito gasto público mudança meta fiscal falar interferência vale polêmica mantega petrobras hoje lula encontrar prates ajudar compor ambiente,0,0,
popularidade lula baixa pesquisa mercado assustar risco populismo fiscal contratar pressão conta público ganho arrecadação início ano mudar jogo,-1,-1,-1.0
indicar desacreditar mercado início promessa haddad déficit empurrar relatório bimestral julho estratégia criar clima juro abaixo,-1,-1,-1.0
reportagem folha domingo foco governo interlocutor sinal fiscal forte especial liquidação custódia voltar dígito recuperar imagem lula,-1,0,-1.0
equipe econômico considerar ideal corte adicional juro março maio junho tentativa garantir ambiente propício copom continuar derrubar taxa esbarra inflação,-1,0,-1.0
amanhã índice nacional preço consumidor amplo fevereiro acelerar janeiro mediana pesquisa broadcast dado vir pressionar reajuste mensalidade escolar aumento icms gasolina,-1,-1,-1.0
indicador pegar mercado alerta banco central preço serviço trazer insegurança estar trás intenção levantar galípolo guillen abandonar forward guidance,-1,0,-1.0
mercado perguntar copom eliminar comunicado reunião semana plural sinalização futuro queda especial liquidação custódia preferir comprometer indicação dovish,0,0,
mudança linguagem preparario espírito investidor corte pequeno especial liquidação custódia semestre poder abalar convicção especial liquidação custódia terminal abaixo dígito levantamento focus,1,0,-1.0
mão visível esperar frustração ausência dividendo extraordinário afundar ação petrobras levar índice bovespa junto ler abaixo,0,0,
estratégia agradar mercado gostar reforçar suspeita intervenção governo estatal reuters informar lula envolver diretamente decisão dividendo,0,0,
agência governo empenhar mudar regra reserva estatutário companhia utilizar recurso reter dividendo extraordinário realizar investimento,0,0,
rumor mudança regra jogo esvaziar alívio comentário prate dividendo extraordinário retir ser utilizar investimento pagar dívida,0,1,
prate negar pressão governo dividendo pagar dívida investir falso notícia andar susto desaparecer reserva divider hora volta,0,-1,
diretor financeiro ri estatal sergio caetano leite declarar petrobra apurar possibilidade pagamento dividendo extraordinário exercício trimestralmente,0,0,
estrago percepção investidor feito abrir crise credibilidade choque decisão dividendo papel petrobras sofrer onda rebaixamento banco abaixo,-1,0,-1.0
bofa decisão estatal pagar dividendo extraordinário eleva percepção risco empresa particularmente influência governo principal decisão alocação capital,-1,0,-1.0
apuração sábado equipe econômico ter defender pagamento dividendo,0,0,
união principal acionista empresa beneficiário de esse montante ajudar equilíbrio conta público,1,0,1.0
informação indicar direção companhia ter sugerir pagamento dividendo,0,0,
administração governo rejeitar proposta distribuição dividendo extraordinário temor petroleira ficar dinheiro suficiente caixa,0,-1,
ficaria impossibilitar executar plano estratégico foco transição energético,0,0,
vale estadão sábado fonte temer listar tríplice possível sucessor ceo ser jogo carta marcar governo lula representar previ pressionar troca comando,0,-1,
agenda índice nacional preço consumidor amplo volume serviço janeiro instituto brasileiro geografia estatística divulgar foco potencial efeito aposta juro ritmo atividade ser medir venda varejo,0,0,
hoje sair prévia março dia dado janeiro caged,0,0,
campos neto guillen paulo picchetti compromisso bis hoje basileia suíça,0,0,
sábado entrevista cnn gleisi hoffmann partir novamente ataque rcn dever terminar mandato tranquilo ficar articular congresso pec autonomia banco central,0,0,
balanços temporada continuar hoje natura direcional localiza fechamento mercado embraer amanhã cvc energisa eletrobras casas bahia prio ecorodovias soma hypera,0,0,
varejista renner marisa yduqs cyrela enauta eneva eztec jhsf tenda vittia,0,0,
horário verão hoje horário negociação pregão regular ser reduzir hora fechamento causa volta horário verão estados unidos after market,0,0,
bolsa ny passar operar brasília petróleo ser negociar,0,0,
vetos planalto adiar semana passado amanhã reunião parlamentar comissão mista orçamento tratar impasse torno veto fazer presidente lula ldo,1,0,-1.0
assunto vinhr gerar pressão parlamentar distensionar governo ceder cumprir calendário pagamento emenda previsto projeto decisão veto sair dia,1,-1,-1.0
existe entendimento ser alterar publicação relatório bimestral receita despesa,0,-1,
payroll abaixo reforçar junho início corte juro estados unidos sinalizar ciclo total relaxamento monetário foco atenção voltar inflação índice preço consumidor amanhã,-1,0,-1.0
ppi venda varejo sair produção industrial fevereiro índice atividade industrial empire state março expectativa inflação ano medir univ michigan,-1,0,1.0
mercado projetar corte juro bce junho sair leitura fevereiro inflação consumidor índice preço consumidor alemanha amanhã produção industrial janeiro zona euro,0,0,
opep publicar relatório mensal petróleo aguardar expectativa investidor cartel aliado ter decer estender corte produção commodity,0,0,
japão hoje produto interno anualizar revisar alta recuo leitura preliminar evitar economia japonês entrar recessão técnico aumentar chance normalização juro,0,0,
banho sangue rumor haver pressão direto presidente lula petrobras segurar pagamento dividendo extraordinário piorar prometir imposto renda bolsa doméstico,0,-1,
forte queda abertura petrobra pn afundar on derreter empresa perder bi mercado,0,0,
índice bovespa peso estatal chegar chegar flertar mínima dia fechar queda semana ceder,0,0,
brasil quantidade significativo oportunidade frente referência capital construir petrobras vale risco político imprevisível dizer bloomberg malcolm dorson global x,0,0,
volume financeiro bolsa ficar acima média cerca ação petroleira responsável total giro,0,0,
bank of america santander bradesco bbi rebaixar ação companhia compra neutra,0,0,
banco brasil sofrer efeito colateral percepção interferência estatal petrobras único banco recuar,0,0,
santander unit subir itaú unibanco valorizar bradesco pn subir on ganhar,0,0,
petrolífera juniores beneficiar derrocada petrobras petroleum petroreconcavo prio,0,0,
vale recuar linha queda minério ferro dalian,-1,0,-1.0
fuga investidor estrangeiro bolsa efeito petrobras pressionar câmbio,-1,-1,-1.0
queda preço petróleo minério ferro contribuir enfraquecer moeda país produtor commodities real brasileiro,-1,-1,-1.0
pesar fiscal dólar vista fechar alta aproximar grande dia semana moeda subir,-1,-1,-1.0
mesmo fator pesar dis juro subir,-1,-1,-1.0
queimando prêmios payroll trouxer mensagem gosto mercado preferir copo cheio relatório bastar levar bolsa ny alta,0,0,
realização lucro setor tecnologia forte alta recente levar índice,0,0,
broadcom nvidia intel companhia beneficiar entusiasmo mercado ia puxar índice,0,0,
ação nvidia mau desempenho maio ganhar semana analista significar rali situação sobrecompra atrair realização lucro,0,0,
ter fazer máxima intradayr manhã nasdaq terminar vermelho semana perder respectivamente,0,0,
dow jones cair semana queda mau outubro passado,0,0,
entrevista bloomberg prestigiada cathie wood ark afirmar ação fabricante chip sujeita liquidação correção movimento alta longo prazo dizer,0,1,
correção techs bolsa ler positivo payroll fevereiro chegar subir,1,-1,-1.0
estados unidos criar emprego acima esperado dado dezembro janeiro revisar total emprego,1,0,-1.0
taxa desemprego subir ano janeiro expectativa ficar patamar anterior,-1,-1,-1.0
acima emprego crescer pressão salário salário médio h subir janeiro abaixo esperar comparação anual haver ganhar inferior previsão,-1,0,-1.0
mercado trabalho forte superaquecer reavivar esperança fed consiga alcançar pouso suave levar corte juro ano,-1,-1,-1.0
fed boys seguir discurso conservador john williams ny dizer mercado trabalho segar apertar auge expectativa inflação ter recuo modesto,-1,0,-1.0
resultado misto payroll resultar treasuries direção único retorno note ano cair,0,1,
dado razão fed pressa cortar juro yield note ano subir ano avançar,1,-1,-1.0
índice dxy baixa semana recuar dólar continuar apanhar iene subir rumor aperto monetário boj,0,0,
reuters dirigente banco central japonês considerar possibilidade acabar juro negativo expectativa negociação salário anual ger resultado forte,0,0,
libra subir euro cair efeito estagnação produto interno bruto zona euro ante força argumento bce precisar cortar juro,0,-1,
dirigente bce falar timing corte villeroy galhau dizer recuo vir provavelmente primavera abril junho gediminas simkus junho provável,0,0,
olli rehn afirmar risco cortar juro diminuir significativamente robert holzmann dizer corte ser preparar,0,-1,
vale aprovar convocação assembleias gerais ordinária extraordinária,0,-1,
petrobras confirmar visita comitiva venezuela semana passado avaliação possível oportunidade negócio nenhum acordo assinar durante missão broadcast,0,0,
prio reportar lucro líquido milhão alta comparação anual ebitda somar milhão avanço período,0,0,
companhia publicar certificação reserva elaborar degolyer macnaughton incluir reserva campo polvo tbmt frade wahoo campo albacora leste,0,0,
petrorecôncavo reiterar resposta questionamento cvm receber proposta formal combinação negócio petroleum haver acordo,0,0,
gol audiência processo recuperação judicial ny adiar hoje aérea anunciar realizar processo competitivo avaliar alternativa capitalização transação alternativa disponível,0,0,
embraer brandes investment partners reduzir participação companhia ação representar total,0,0,
sabesp governo sp reduzir participação companhia privatização lauro jardim globo,0,0,
iguatemi concluir aquisição participação adicional i fashion outlet hamburgo elevar participação propriedade negócio ter ser anunciar aprovação cade ocorrer,0,0,
aquisição,0,0,
vibra energia dynamo passar deter milhão ação on companhia instrumento derivativo correspondente milhão papel representar capital empresa,0,0,
gafisa esh capital investimentos passar deter total ação on correspondente capital social empresa,0,0,
esh informar gafisa aquisição objetivo alterar estrutura administrativo companhia,0,0,
juiz vara empresarial comarca capital rio janeiro determinar convocação assembleia credores convocação convocação,0,0,
americanas esperar faturar cerca páscoa comparação venda ano passado,0,0,
empresa revelar faturamento esperar projetar vender milhão ovo páscoa total milhão item relacionar data caixa bombom barro chocolate,0,0,
indicador econômico reunião fed semana índice preço consumidor fevereiro sair exibir aceleração modesto esperar endossar percepção deixar payroll corte juro junho índice nacional preço consumidor amplo fevereiro mexer expectativa comunicado copom superquarta dia negócio doméstico continuar ser influenciar polêmica petrobras reunião lula presidente companhia jean paul prates ministro alexandre silveira rui costa haddad terminar otimista esperar liberação dividendo extraordinário reter,0,0,
after hours ny adr petrobra operar euforia noite entrevista silveira haddad admitir recurso poder distribuír totalidade algum,0,0,
coletiva informação fazenda assento petrobras ajudar haddad ver interlocutor confiança mercado financeiro governo pt,0,0,
sinal claro interferência planalto gestão empresa permitir ação recuper perda acumular último petrobra cair balanço decisão dividendo,-1,0,-1.0
presidente lula abrir mão recuperar política superinvestimento petrobras confirmar entrevista sbt manter fator incerteza investidor temer ocorrer governo dilma,-1,0,-1.0
haddad silveira dizer dividendo extraordinário ficar caixa petrobra guardado conta remunerar ter distribuição prejudique plano investimento empresa,-1,0,-1.0
lei veda uso de esse recurso investimento governo achar buscar brecha pequeno caixa robusto solidez indicador empresa facilitar financiamento investir,0,1,
entrevista silveira haddad admitir tesouro reclamar receber dividenr extraordinário bi decisão reter recurso prejudicar meta fiscal,0,0,
fazenda contar dividendo ordinário afirmar ministro fazenda,0,0,
outro alexandre silveira descartar demissão prates afirmar passar especulação,0,0,
presidente petrobra declaração embarcar volta rio confirmar ficar falar dividendo falar dividendo ministro minas energia dizer prates,0,0,
prova ingerência político companhia fala lula sbt afirmar conversa sério direção petrobras ir baixar preço combustível gás cozinha,-1,0,-1.0
tom presidente enfrentar baixa popularidade aparecer declaração voltar criticar campos neto causa taxa juro haver teimosia cidadão manter juro patamar,-1,-1,-1.0
presidente ignorar fato diretor indicar banco central votar sintonia colegiado,0,0,
índice nacional preço consumidor amplo reajuste mensalidade escolar aumento icms gasolina pressionar inflação oficial fevereiro mediana broadcast janeiro intervalo projeção,-1,-1,-1.0
acumulado aposta indicar desaceleração abaixo teto meta,1,0,-1.0
banco central chamar particular atenção pressão serviço acelerar contrapartida preço serviço subjacente indicar tendência perder fôlego,-1,0,-1.0
índice nacional preço consumidor amplo potencial influência expectativa comunicado copom banco central ver adequada redução taxa especial liquidação custódia próximo reunião plural março maio,-1,0,-1.0
galípolo guillen andar levantar lebre último semana abandono ferramenta forward guidance reduzir grau liberdade atuação banco central esporte alto risco,0,0,
citar dinâmica inflação serviço itaú elevar projeção especial liquidação custódia,-1,0,1.0
